"Job","Skills"
" 1",""
"Data Analyst 1","SQL, Excel, Power BI, Reporting, Data Cleaning, Tableau"
"Data Scientist 1","Statistics, Pandas, SQL, Machine Learning, NLP, Deep Learning, Python"
"Software Engineer 1","System Design, Agile, Git, Docker, Java"
"ML Engineer 1","Python, Computer Vision, Keras, MLOps, TensorFlow"
"Software Engineer 2","REST APIs, Agile, Docker, System Design, Spring Boot, Git"
"Data Analyst 2","Excel, SQL, Power BI, Data Cleaning, Reporting, Tableau"
"Software Engineer 3","REST APIs, Agile, Docker, Git, Java, Spring Boot, System Design"
"Product Manager 1","Stakeholder Management, Agile, User Stories, Product Roadmap"
"Data Analyst 3","Excel, Power BI, Reporting, Tableau, Data Cleaning"
"ML Engineer 2","MLOps, Python, Keras, PyTorch"
"Data Analyst 4","Tableau, SQL, Power BI, Reporting, Excel, Data Cleaning"
"Data Analyst 5","Excel, SQL, Reporting, Data Cleaning"
"Product Manager 2","Agile, User Stories, Stakeholder Management"
"ML Engineer 3","PyTorch, Computer Vision, Keras"
"ML Engineer 4","PyTorch, Python, Computer Vision, Keras, TensorFlow, MLOps, Cloud"
"Data Scientist 2","Deep Learning, SQL, NLP, Pandas"
"Data Analyst 6","Data Cleaning, Power BI, SQL, Tableau, Reporting"
"Data Analyst 7","SQL, Data Cleaning, Tableau, Reporting, Power BI, Excel"
"Product Manager 3","Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
"Data Scientist 3","Pandas, Machine Learning, NLP, Python, Deep Learning, SQL, Statistics"
"ML Engineer 5","Computer Vision, Cloud, Keras"
"Data Scientist 4","Python, SQL, Deep Learning, NLP, Machine Learning"
"Product Manager 4","User Stories, Scrum, Product Roadmap, Stakeholder Management, Agile"
"Data Analyst 8","Excel, Tableau, Reporting, Power BI, SQL, Data Cleaning"
"Data Analyst 9","Reporting, SQL, Tableau"
"ML Engineer 6","TensorFlow, MLOps, Keras, Computer Vision"
"Product Manager 5","Product Roadmap, Agile, Scrum, Stakeholder Management"
"Product Manager 6","Stakeholder Management, User Stories, Agile, Scrum, Product Roadmap"
"Product Manager 7","User Stories, Product Roadmap, Agile, Stakeholder Management, Scrum"
"Data Analyst 10","Data Cleaning, SQL, Reporting, Tableau"
"Product Manager 8","Scrum, Product Roadmap, Stakeholder Management, User Stories, Agile"
"Data Scientist 5","Pandas, NLP, SQL, Statistics, Python, Machine Learning, Deep Learning"
"Data Scientist 6","Statistics, Machine Learning, NLP, SQL, Pandas, Deep Learning"
"Software Engineer 4","REST APIs, Git, Agile, Docker, Spring Boot"
"ML Engineer 7","Cloud, Computer Vision, Python"
"Data Scientist 7","Pandas, Machine Learning, Python, SQL, NLP"
"Data Scientist 8","SQL, Pandas, Deep Learning, NLP"
"Software Engineer 5","System Design, Spring Boot, Agile, REST APIs"
"Product Manager 9","Stakeholder Management, Scrum, Product Roadmap"
"Software Engineer 6","System Design, REST APIs, Java, Git"
"Product Manager 10","Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap"
"Data Scientist 9","Pandas, Deep Learning, NLP, SQL, Machine Learning, Statistics"
"Data Analyst 11","SQL, Power BI, Tableau"
"Data Scientist 10","Python, Statistics, Machine Learning, Pandas, SQL, NLP"
"Software Engineer 7","Spring Boot, REST APIs, Agile, Java"
"Data Analyst 12","Power BI, Tableau, Excel, Reporting"
"ML Engineer 8","MLOps, PyTorch, Cloud, Python, TensorFlow, Computer Vision"
"ML Engineer 9","Cloud, MLOps, Python, Computer Vision, PyTorch, Keras, TensorFlow"
"Data Scientist 11","SQL, Machine Learning, Pandas"
"Data Scientist 12","Machine Learning, Statistics, Python, SQL"
"Software Engineer 8","Spring Boot, Java, Agile"
"Product Manager 11","Scrum, Stakeholder Management, User Stories, Agile, Product Roadmap"
"Product Manager 12","Stakeholder Management, Scrum, User Stories, Product Roadmap"
"Product Manager 13","User Stories, Agile, Product Roadmap, Stakeholder Management, Scrum"
"Data Scientist 13","Python, NLP, Deep Learning"
"Data Analyst 13","Power BI, Excel, Data Cleaning"
"Data Scientist 14","Deep Learning, Python, Pandas"
"Data Scientist 15","SQL, Python, Deep Learning, Machine Learning"
"Software Engineer 9","Docker, Spring Boot, Java, Git"
"ML Engineer 10","Keras, Computer Vision, TensorFlow, PyTorch, Python, Cloud"
"Data Analyst 14","Power BI, Reporting, Data Cleaning, Tableau"
"Software Engineer 10","Agile, Java, Docker"
"Data Scientist 16","Pandas, Statistics, Python, NLP, SQL, Machine Learning"
"ML Engineer 11","Computer Vision, MLOps, Python, TensorFlow, Keras, Cloud"
"ML Engineer 12","Python, Keras, PyTorch"
"Data Analyst 15","SQL, Tableau, Data Cleaning"
"Data Scientist 17","Pandas, Machine Learning, Deep Learning, Statistics, SQL, NLP"
"Software Engineer 11","System Design, Spring Boot, REST APIs, Docker, Agile, Git, Java"
"Data Scientist 18","Machine Learning, SQL, NLP, Statistics"
"Software Engineer 12","Spring Boot, System Design, Java, Agile"
"Software Engineer 13","Agile, Docker, Git"
"Product Manager 14","Product Roadmap, User Stories, Scrum, Stakeholder Management, Agile"
"ML Engineer 13","Cloud, Python, TensorFlow, Computer Vision, PyTorch, Keras, MLOps"
"Product Manager 15","Agile, User Stories, Scrum, Product Roadmap"
"Data Analyst 16","Data Cleaning, Tableau, Power BI, Reporting, Excel, SQL"
"ML Engineer 14","TensorFlow, Keras, MLOps, Python, Cloud"
"Data Analyst 17","SQL, Reporting, Excel, Tableau"
"Product Manager 16","Agile, Product Roadmap, Stakeholder Management"
"Data Analyst 18","Power BI, Reporting, SQL, Excel, Tableau, Data Cleaning"
"Software Engineer 14","Git, System Design, Agile, Docker"
"ML Engineer 15","TensorFlow, Computer Vision, Python, Keras, Cloud, PyTorch"
"Product Manager 17","Stakeholder Management, Scrum, Agile"
"Product Manager 18","User Stories, Agile, Scrum"
"Software Engineer 15","Agile, Git, REST APIs"
"Data Scientist 19","NLP, Statistics, SQL, Python, Machine Learning"
"Data Scientist 20","Statistics, NLP, SQL, Python, Pandas, Deep Learning"
"Data Analyst 19","Excel, SQL, Power BI, Tableau, Data Cleaning"
"ML Engineer 16","TensorFlow, Cloud, Keras, Computer Vision, PyTorch, Python"
"Data Analyst 20","SQL, Tableau, Power BI"
